module,module.char,lib45943,lib45944,lib45945,lib45946,lib45947,lib45948,lib45949,lib45950,lib45951,lib45952,lib45953,lib45954,lib45955,lib45956,lib45961,lib45962,lib45963,lib45964,lib45965,lib45966,lib45967,lib45968,lib45969,lib45970,lib45971,lib45972,lib45973,lib45974,lib45975,lib45976,lib45979,lib45980,lib45981,lib45982,lib45983,lib45984,lib45985,lib48628,lib45942,lib45957,lib45958,lib45959,lib45960,lib45987
module_P337_BE_00,00,2.985093255345463,2.526250013107955,2.944232267468659,2.406720934541859,3.0394830700559097,2.5507944496268333,3.0297698955274432,2.6006033537010382,3.145051134609438,2.493219154608678,2.9666373396342443,2.547462463662888,2.9617761837726118,2.5758540179378056,2.725637787378896,2.5769513570731015,2.935997046167421,2.580041770299154,3.101180184128143,2.4751481249599747,3.0301089584480057,2.6540077783693925,2.6986984040788258,2.3079929660072356,3.2118858711173712,2.6621429665120995,2.78015004977484,2.31487041635178,2.901208380409455,2.540474902932318,3.08520098469867,2.433871158336209,3.085345907572329,2.4607741075904745,3.027429031122385,2.6459073725768594,2.8456056272638053,2.7209711908303613,2.338911847683927,2.9261186574906946,2.9586801225202706,2.9839711088237153,2.3830011673142697,3.1038275021070985
module_P337_BE_01,01,4.683623525376762,4.381807036523285,4.887432001990121,4.472198949858387,4.6764851387037245,4.552693995839765,4.907702935909251,4.452749115693019,4.982395313139939,4.305919565706539,4.725234747909343,4.5192655030385005,4.732445717976757,4.456879380862228,4.7232535502864454,4.451497608341649,4.80433310156395,4.480245309756768,5.018178353297588,4.543188554839198,4.736921634232612,4.2610547440343165,4.766402187203932,4.533475405704377,4.611914327946644,3.9067555348224388,4.563028240669754,4.207117260167595,4.806743086602781,3.9163213288999374,4.754196903973031,4.091561167384965,4.742780866839486,4.205143633428454,4.6863129010059446,4.335900622129982,4.348700480467975,4.419960116412513,4.5110974948882925,4.750616425071744,4.275389688994223,5.572940445000966,4.663035300928011,4.821689062465915
module_P337_BE_02,02,5.873553536537755,6.010551033229908,5.567376036640415,6.059695185208786,5.795099709259434,5.942309188596183,5.6967517605236955,5.954417138795122,5.70081965712196,6.159145758291986,5.594001527895801,6.032499565349217,5.560975664092341,6.001325130853908,5.598730017905626,5.92251298565059,5.663236473488577,5.9894157112137005,5.641161990246546,6.073485106301133,5.77616663889779,6.20169594633694,5.745275353475164,5.850869752382466,5.778565023823402,6.292705987926565,5.875539580837744,5.920812814590147,5.622748658741042,6.199299380823249,5.722538128255622,6.084357288568913,5.602996851817221,6.004435869521909,5.680286340075626,6.066277200669599,5.95644732505283,6.111451890280949,5.711175941242102,5.680464926918438,6.211533217029645,4.530212620518608,5.872833423277864,5.669512829362853
module_P337_BE_03,03,5.01107640866862,4.653425373703439,5.200964224084007,4.641382729754742,5.556581635754243,5.159939427883147,5.312876517581666,4.943933843654277,4.697561584406651,4.377733580114675,5.431961490023992,4.707145831813331,5.396407839006516,4.918205922640416,4.900065442244382,4.469131497669466,5.392568284178137,5.038123060839456,5.324388303701082,4.812032139705402,5.48355513020834,4.955900951737952,5.074382524435672,4.96967552843325,5.175551634464116,4.367756071278917,5.000643442730299,4.450079035881791,5.213113811222752,4.129916421162837,5.479301055410665,4.832624335200249,5.4084811945001405,4.721640221834828,5.4747507382351035,4.950830116569366,4.571370238665356,4.728372438659756,4.810891609736148,5.356974162066382,4.620862111712376,5.093124463515272,4.770235143478299,5.061557233950248
module_P337_BE_04,04,4.221185433125148,4.374091745004451,3.9408489112644767,4.078035746221627,3.211377639650642,3.996338875763755,3.747243943187064,4.969009294756302,3.4175604153404513,4.404327890457971,4.673977984796512,6.147822145748363,3.6959466495030804,4.327900244961209,5.55846343227991,5.161374545070195,4.760659016796074,4.902405952703037,3.9523418626682263,4.949340105928791,4.102207260238821,4.940209774934718,3.951247882010555,5.356126449276566,4.908831458723447,5.506358304691493,3.46151229123381,3.933339417665328,3.4535574796795117,4.675126794263611,4.739749485183376,4.026567094909877,4.508269587045679,4.997087638521755,3.4939060559783246,5.630603927680873,4.262934561106,4.693669560156804,4.179872823766426,4.561004471825112,4.506872042297741,3.139277732213375,5.8857239297599575,4.349804185285306
module_P337_BE_05,05,5.6286395441699755,5.469463186145813,5.653922923412352,5.27443158046477,5.577363619665796,5.495928791456394,5.597436659501352,5.419383145892331,5.576701437319334,5.246453342973989,5.729363970705075,5.131043191531723,5.7192364364472335,5.438730250697712,5.655932420245044,5.08003705133902,5.70215002101846,5.443756085773272,5.6857552760511405,5.482187807667228,5.619080865851226,5.319054591104643,5.757234751708933,5.262012720962557,5.661591480663718,5.321640088084737,5.549067488593546,5.460085447067342,5.666948557447271,5.328879294137214,5.700503786017151,5.574310559930102,5.635658064109416,5.588611068788214,5.767561248435782,5.397788538687785,5.659920128963822,5.366220624174527,5.759927886356764,5.531471202532748,5.209303034917624,6.074978939233389,5.459588770117289,6.28991938126629
module_P337_BE_06,06,4.962540602037033,5.137925415399514,4.7636036790119585,5.402048443657723,4.969293668015487,5.218819019605774,5.11329286358057,5.2422039459694485,5.075238443335649,5.230904087781059,4.872817887755395,5.727736502782417,4.817568297988072,5.194038068398226,5.0231027198827425,5.527499235053181,4.945198328420853,5.275041563421207,5.096428692696632,5.257397116535595,4.9414485946675395,5.332066670400189,4.753061560574023,5.389102768092685,4.879169046637882,5.402415862675975,4.856897207708916,5.0979720948964715,4.8471579147853046,5.351211499637284,4.942043877627033,5.155724639675278,5.030631155585273,5.142424454548652,4.870838722905522,5.336564111469209,4.4065626353693546,5.193859985546213,4.804042628799188,5.1167167111501515,5.307377287373054,4.316849886638482,5.202109891639332,3.8109636219878564
module_P337_BE_07,07,5.225085508302731,5.563028876891222,5.469107378727419,5.938472035249955,5.354761342127639,5.546480925587225,5.568896533829514,5.491129235227554,5.798187115967968,5.965102554371918,4.990952015884281,5.774391742118371,5.051092986017939,5.56293169656519,5.4474649566938504,5.9300364977673174,4.993862183875809,5.430641325660325,5.240858345305644,5.504226739117093,5.191355372639101,5.648826976378165,5.186768501163035,5.660752310206577,5.195899439027728,5.759098866738953,5.569070153729371,5.534420108878739,5.144424414222105,5.8986121325162415,4.96864223385296,5.591291467660421,5.1567811346962875,5.406360500013613,4.911356797414432,5.500230219964144,5.611568607155186,5.6897486973412486,5.123080234869429,5.329821912606982,5.772555700377158,5.1843901899862885,5.455061509227421,4.44870100147771
module_P337_BE_08,08,5.122753451497412,5.687606646551302,5.450652677517391,6.021616022877946,5.062995284223119,5.228038266186016,5.193663112316278,5.441205044302453,5.957189014981075,6.32247475723589,4.749608506129456,5.565933931148961,4.737465406952343,5.700092100802264,5.549122593306542,6.094801081047808,4.7748486067176925,5.163587544542821,5.200802585719258,5.658587335369681,5.068669180294692,5.686922732794628,5.456589521847026,5.5187745447298635,5.395545648229635,6.223412539014953,5.844531980373056,6.052220710913223,5.341182972498034,6.2910744871344,4.897551393562563,5.9450729439026295,5.016576862667406,5.845073998888388,5.080043520877467,5.465502977653106,6.273491196725897,5.817649369787162,5.295289499874202,5.216157207314168,6.196641532412873,5.586806844655591,5.312782551167127,5.055012207322934
module_P337_BE_09,09,3.451230651615373,3.2020190385852705,2.4822373575383607,4.082420999166325,2.692879005310219,3.5952579615312628,2.9426392850923584,3.8961222907623005,2.869243308305362,4.198064603528299,2.3666857134239745,4.19413289122341,2.3884051046551487,3.9242582786437388,2.764067781932092,3.5918872250081035,2.8076378244969247,3.242957275076999,2.401775566214564,3.879292403062307,2.5664502395621778,4.221291525466721,2.378940847260788,3.194361541122884,2.621579356118809,3.4582947030307056,2.4649694507981925,2.5536739991265396,2.243209765296792,3.894272042760748,2.360098787097167,3.6837196065699094,2.8081655415353275,3.375951956611484,2.6908364810229055,3.2992978025539212,3.21951062115404,3.5942557311979995,2.928103094734494,2.5896462956457715,4.231227823749717,2.691022834608707,3.350178444092484,3.1557359728530767
module_P337_BE_10,10,5.72735458162877,5.7093019152918405,5.4808622569369,6.156283076625617,5.373172604032812,5.772841498382409,5.610807111442793,6.195487529838848,5.5119524800131074,6.1057578386062605,5.528807229566616,6.123086586521463,5.698588492371262,5.845413612341742,5.730558675992707,5.96120146358071,5.314846957251756,5.608759781165394,5.453745551871211,5.9236057953995696,5.34725316124709,5.982712523705355,5.665460656255187,5.657888752185311,5.71320245982132,6.196048268679575,5.442042625867418,5.851686722128717,5.596327074035598,6.378750768039331,5.315254201469946,6.162159639789312,5.392070546253306,5.801834195914891,5.096977483025537,5.85410248463287,6.519792155516877,6.309973000924204,5.616928374773999,5.275870822096533,6.131405459809114,5.802902239878908,6.0488307492178155,6.010411328446066
module_P337_BE_11,11,2.9768370491361837,3.8650629270770644,3.311322143123588,3.6478712768450636,2.2996832485810614,2.64076122437574,2.562227192040227,3.484945782251701,3.354898411159247,4.167747279131521,2.632138893305737,5.2241180947810095,2.527678271150111,3.3225104678894666,3.5564785540418478,4.329998255614406,2.861864873022864,3.6648252257495257,2.7791032137168137,3.64858750843477,2.51476828326017,3.6193329071017675,2.8439899759856178,3.608663430404096,3.3545588852649977,4.761164641747264,2.8385566827087563,3.460375105790599,2.3025945041591784,4.571614404718536,3.0927587701431087,3.373715153200392,2.593250820227721,3.6633559574920445,2.0880143632292913,3.6833275074729723,3.86335230733981,4.126767446700202,2.754657134752818,2.9705824456166092,4.071747780521691,3.1387242119610868,4.109838930799337,2.9090926658749034
